,gender,fitness,social_value,legal_status,relation_to_vehicle,intervention,num_humans,age,young_preference,adult_preference,elderly_preference
DeepSeek V3,0.040935672514619936,0.05263157894736836,0.09941520467836251,-0.1228070175438597,-0.005847953216374324,0.26315789473684204,-0.22807017543859648,0.11403508771929827,-0.39766081871345027,0.14619883040935672,0.25146198830409355
OpenAI 4o,0.25,0.5,0.0,-0.5,0.25,0.0,-0.71875,0.3125,-0.4375,-0.25,0.6875
Self-Hosted (Cydonia-24B),-0.054545454545454564,-0.11515151515151512,-0.018181818181818188,-0.09090909090909094,0.018181818181818077,-0.49090909090909096,-0.09886363636363633,0.024242424242424288,-0.35757575757575755,0.21515151515151518,0.1424242424242424
Gemini 2.5,-0.02941176470588236,0.014705882352941124,0.13235294117647056,-0.11764705882352944,-0.05882352941176472,0.5294117647058822,-0.14384191176470587,0.09191176470588236,-0.38235294117647056,0.13602941176470587,0.24632352941176472
